Zb
3
Long
Lat
Zb
-104.6171	19.4616	10.29
-103.0274	21.8207	9.25
-116.1772	31.4771	10.13
-103.0696	26.2562	10.26
-108.9370	31.0310	10.04
-106.5590	28.3770	10.20
-105.3732	23.7691	9.99
-109.2150	28.8100	11.17
-107.5120	27.2080	10.30
-114.5318	29.4757	10.60
-105.2570	30.1190	10.40
-99.3167	24.7113	10.61
-106.2470	29.5360	10.66
-102.3322	24.8414	10.52
-97.6670	19.7588	10.64
-107.3325	23.7626	8.50
-115.2715	32.2020	10.24
-99.3160	24.4223	10.58
-109.9134	30.5553	10.37
-111.6547	26.6640	10.40
-105.5810	28.6740	10.28
-102.0328	28.9648	9.84
-97.4504	16.7629	10.80
-107.5180	27.4970	10.32
-105.7260	23.7283	11.05
-113.7068	28.2414	10.81
-103.3984	19.8025	10.52
-98.9425	20.3421	11.08
-111.3596	27.0630	9.48
-93.3465	16.7004	10.20
-107.5740	29.8050	10.37
-116.5125	31.7675	9.24
-116.1746	31.7658	9.59
-111.6826	27.0438	10.70
-111.6391	26.4653	10.72
-105.1945	21.8324	10.24
-104.2810	27.2290	10.65
-110.9486	31.0475	9.83
-109.5519	29.6845	10.31
-99.8111	20.9184	11.22
-109.5628	23.7606	9.48
-113.3304	27.9526	10.42
-103.3637	20.9097	10.75
-107.2630	30.6770	11.04
-96.0155	17.4102	10.46
-115.6071	29.8427	10.48
-112.9984	27.0678	10.56
-116.5110	32.0562	9.96
-112.0139	26.6619	10.63
-106.2200	27.2250	10.60
-111.4546	26.5146	10.62
-102.0621	17.7520	10.50
-100.9122	17.1771	10.48
-96.5114	17.7940	10.48
-110.0517	23.9901	10.26
-105.5830	28.9630	10.48
-105.9110	28.9610	10.18
-111.0054	23.9644	10.32
-109.5787	29.9732	11.65
-103.8445	20.8955	10.78
-95.4000	17.6737	10.04
-111.9103	30.4328	10.44
-106.5770	29.5320	10.58
-101.0179	23.6960	11.47
-114.1876	29.4859	9.62
-93.6630	16.4294	11.06
-112.1351	26.4386	10.70
-112.1878	30.6416	10.42
-111.8746	29.9835	11.00
-107.2560	30.3890	11.07
-105.7228	23.1502	11.09
-99.0003	24.4226	10.91
-106.5470	27.5110	10.11
-105.5390	26.3630	11.76
-114.4421	30.4208	11.30
-109.2199	28.5213	10.20
-106.9846	26.3567	10.18
-100.0499	17.4645	10.92
-103.6517	21.2488	10.57
-115.8403	31.4745	10.95
-102.0050	22.4325	10.99
-107.2000	27.7910	10.13
-106.6640	23.4321	10.75
-111.6597	27.0410	10.41
-103.0352	21.2428	9.63
-110.0484	24.4417	9.92
-113.8900	28.1640	11.10
-113.0178	27.2935	10.92
-107.5454	28.6512	10.20
-108.5867	30.2488	11.07
-103.2940	28.3760	10.90
-99.7562	22.5511	11.52
-102.7270	21.2389	8.64
-112.5240	29.3949	10.72
-113.9111	28.3893	11.28
-104.4245	25.2135	10.58
-104.7428	24.9254	10.94
-98.3306	20.0516	11.14
-98.3158	18.5160	11.56
-92.9911	17.5478	11.40
-92.7870	16.0886	11.26
-94.2922	15.8857	11.48
-112.1173	26.2126	10.56
-106.7425	21.8233	11.13
-106.3242	24.6308	11.01
-101.6451	23.6865	10.17
-102.7905	20.5491	11.06
-107.0089	25.4503	11.56
-100.7930	26.4798	10.12
-102.9012	28.3623	9.78
-97.6694	19.4696	11.52
-96.8091	19.4613	10.34
-100.6248	18.0395	9.72
-106.1830	26.6480	10.84
-99.0003	24.7116	11.10
-99.5715	18.7331	10.96
-95.7147	17.3978	10.56
-112.6557	26.6318	11.50
-111.2055	29.6922	10.77
-105.8940	26.9390	11.22
-100.6861	22.2550	11.98
-108.8518	27.0714	11.74
-108.9088	23.7006	9.44
-92.6903	17.5294	11.82
-102.4835	21.2091	10.42
-105.2560	29.5410	10.79
-105.5052	22.1208	10.44
-103.3369	21.8241	11.12
-103.7038	19.7192	11.16
-102.3496	17.7520	11.16
-93.0847	16.1068	11.70
-114.7428	29.0063	10.48
-111.8209	27.0401	10.75
-109.2263	29.3918	11.05
-111.4983	27.0417	10.78
-98.9644	18.7340	11.28
-110.7727	27.9669	11.38
-95.6407	17.0023	11.46
-92.5288	15.4947	11.28
-105.8600	26.3610	11.08
-103.6240	26.8980	10.60
-114.4647	28.8011	11.06
-103.6464	21.8269	11.42
-103.2028	25.9765	11.80
-112.8715	29.5787	9.64
-109.3116	24.2095	10.04
-113.9324	28.6145	11.56
-115.0147	32.2596	9.89
-109.8888	29.1102	10.94
-109.2463	30.5480	11.09
-106.0152	25.5000	10.76
-101.4211	29.1682	12.02
-107.9501	23.4495	9.68
-93.2920	17.5657	11.92
-114.7584	30.5425	11.70
-103.8489	20.3173	11.26
-110.7528	27.6779	11.08
-111.3175	26.4844	11.50
-107.9632	23.7397	8.88
-98.5809	20.6307	11.82
-104.6040	27.2300	11.24
-106.0376	23.4375	11.50
-105.6858	23.4790	11.89
-107.6449	25.4402	10.96
-106.5860	30.1100	11.28
-99.9863	26.2038	11.24
-99.3264	24.8675	11.46
-101.6744	29.0443	11.14
-101.7746	19.1893	9.58
-103.9580	21.5401	9.01
-106.8660	27.2180	11.61
-115.5081	31.1823	11.31
-111.9823	27.0391	11.12
-89.2367	21.4544	7.40
-93.0661	16.3947	11.72
-110.2975	23.9915	11.08
-100.0213	20.1131	11.13
-108.5796	30.5373	11.80
-102.9652	24.8514	12.26
-110.9346	25.1729	10.96
-111.6608	26.7546	11.90
-110.7883	24.4445	10.62
-106.9230	30.3940	11.69
-106.2540	30.1130	11.55
-112.7117	27.5407	11.56
-100.5861	24.6764	11.24
-101.4568	26.2898	11.44
-94.5587	16.4770	11.86
-110.2950	24.4430	10.72
-114.7201	28.7813	10.98
-106.9010	29.2390	9.65
-104.6067	18.8840	11.00
-107.0186	26.0279	11.26
-110.6142	30.8491	11.36
-100.7157	24.5664	11.84
-110.2493	30.2689	10.28
-105.7020	26.3687	12.19
-103.2757	28.0108	11.36
-93.9615	16.4459	11.88
-110.2232	23.3256	11.86
-114.8578	30.1293	11.66
-113.8171	27.6907	10.70
-112.7653	31.2814	11.70
-108.2530	29.9522	11.52
-108.6019	31.0252	11.68
-102.1738	20.7125	11.13
-106.3368	25.7864	10.80
-107.1420	26.3480	10.14
-98.3573	18.7322	11.00
-112.4840	30.6237	10.68
-103.3009	23.4108	11.14
-106.2170	26.9370	11.28
-110.9357	25.6342	10.92
-109.8060	23.9884	11.76
-106.9070	29.5280	11.67
-106.5720	29.2440	11.75
-104.2670	21.5418	11.71
-110.5453	29.4028	12.26
-108.5662	28.5112	11.15
-101.9993	21.9571	12.38
-99.8126	21.2076	11.22
-112.0055	27.0239	11.70
-111.9283	30.6573	11.60
-101.6118	21.9539	11.85
-106.9180	30.1050	11.75
-110.2779	31.0455	11.78
-96.8051	19.7503	12.28
-111.7930	28.4882	11.56
-111.2966	26.1950	11.62
-95.6707	16.1354	12.06
-109.9426	31.0432	11.29
-101.9597	22.8966	12.38
-102.9381	26.5450	11.24
-101.7196	29.4167	11.86
-108.8291	28.2261	11.41
-101.0269	24.2737	11.79
-98.6554	18.7330	11.50
-109.8039	24.2142	11.42
-112.4043	26.6484	11.96
-109.2515	30.2594	11.71
-104.2699	20.9635	11.51
-103.9621	20.9619	11.61
-105.5062	22.4099	12.05
-105.2540	28.6750	11.75
-97.7370	17.3477	12.50
-97.1732	15.8887	12.22
